ダウンロードした時刻：2024/07/09 16:09:27

,浜松,浜松,浜松,浜松,浜松,浜松
年月日,平均気温(℃),平均気温(℃),平均気温(℃),最高気温(℃),最高気温(℃),最高気温(℃)
,,,,,,
,,品質情報,均質番号,,品質情報,均質番号
1996/3/28,13.5,8,1,20.7,8,1
1996/3/29,11.7,8,1,15.0,8,1
1996/3/30,14.3,8,1,17.3,8,1
1996/3/31,15.8,8,1,19.7,8,1
1996/4/1,11.2,8,1,16.2,8,1
1996/4/2,8.2,8,1,12.6,8,1
1996/4/3,6.7,8,1,11.9,8,1
1996/4/4,7.6,8,1,13.1,8,1
1996/4/5,8.6,8,1,14.4,8,1
1996/4/6,11.0,8,1,17.1,8,1
1996/4/7,12.1,8,1,18.8,8,1
1996/4/8,13.3,8,1,18.5,8,1
1996/4/9,12.8,8,1,18.8,8,1
1996/4/10,11.1,8,1,15.5,8,1
1996/4/11,8.5,8,1,14.3,8,1
1996/4/12,7.2,8,1,13.2,8,1
1996/4/13,8.8,8,1,14.5,8,1
1996/4/14,10.9,8,1,16.1,8,1
1996/4/15,11.9,8,1,16.0,8,1
1996/4/16,12.5,8,1,13.7,8,1
1996/4/17,14.2,8,1,19.9,8,1
1996/4/18,15.8,8,1,21.1,8,1
1996/4/19,10.5,8,1,14.3,8,1
1996/4/20,10.7,8,1,17.3,8,1
1996/4/21,10.0,8,1,15.2,8,1
1996/4/22,11.0,8,1,16.1,8,1
1996/4/23,12.7,8,1,18.2,8,1
1996/4/24,14.1,8,1,20.0,8,1
1996/4/25,15.4,8,1,20.8,8,1
1996/4/26,15.7,8,1,20.6,8,1
1996/4/27,18.1,8,1,25.6,8,1
1996/4/28,18.6,8,1,24.5,8,1
1996/4/29,17.9,8,1,23.8,8,1
1996/4/30,18.3,8,1,21.8,8,1
1996/5/1,18.5,8,1,21.7,8,1
1996/5/2,18.0,8,1,23.2,8,1
1996/5/3,18.4,8,1,24.1,8,1
1996/5/4,16.7,8,1,22.7,8,1
1996/5/5,16.4,8,1,21.5,8,1
1996/5/6,16.4,8,1,22.6,8,1
1996/5/7,14.2,8,1,17.7,8,1
1996/5/8,14.5,8,1,16.5,8,1
