ダウンロードした時刻：2024/07/09 16:08:10

,浜松,浜松,浜松,浜松,浜松,浜松
年月日,平均気温(℃),平均気温(℃),平均気温(℃),最高気温(℃),最高気温(℃),最高気温(℃)
,,,,,,
,,品質情報,均質番号,,品質情報,均質番号
1985/11/26,8.8,8,1,12.6,8,1
1985/11/27,10.0,8,1,14.5,8,1
1985/11/28,11.0,8,1,15.3,8,1
1985/11/29,9.4,8,1,13.2,8,1
1985/11/30,6.9,8,1,11.1,8,1
1985/12/1,8.4,8,1,13.4,8,1
1985/12/2,10.3,8,1,15.8,8,1
1985/12/3,9.6,8,1,14.9,8,1
1985/12/4,9.9,8,1,14.8,8,1
1985/12/5,12.3,8,1,17.0,8,1
1985/12/6,10.6,8,1,13.9,8,1
1985/12/7,10.6,8,1,13.5,8,1
1985/12/8,9.7,8,1,12.3,8,1
1985/12/9,7.3,8,1,9.9,8,1
1985/12/10,3.4,8,1,6.8,8,1
1985/12/11,4.4,8,1,7.7,8,1
1985/12/12,4.8,8,1,8.5,8,1
1985/12/13,5.2,8,1,9.6,8,1
1985/12/14,6.8,8,1,11.1,8,1
1985/12/15,3.7,8,1,6.2,8,1
1985/12/16,2.3,8,1,6.0,8,1
1985/12/17,2.3,8,1,5.7,8,1
1985/12/18,2.9,8,1,6.7,8,1
1985/12/19,4.6,8,1,9.5,8,1
1985/12/20,5.0,8,1,9.3,8,1
1985/12/21,5.0,8,1,9.9,8,1
1985/12/22,7.5,8,1,9.9,8,1
1985/12/23,8.4,8,1,11.7,8,1
1985/12/24,4.8,8,1,8.4,8,1
1985/12/25,5.4,8,1,9.0,8,1
1985/12/26,7.1,8,1,11.5,8,1
1985/12/27,6.7,8,1,12.3,8,1
1985/12/28,6.2,8,1,11.7,8,1
1985/12/29,7.4,8,1,13.8,8,1
1985/12/30,12.4,8,1,15.8,8,1
1985/12/31,10.3,8,1,13.3,8,1
1986/1/1,5.7,8,1,8.0,8,1
1986/1/2,2.7,8,1,6.2,8,1
1986/1/3,2.7,8,1,6.3,8,1
1986/1/4,5.6,8,1,8.8,8,1
1986/1/5,1.5,8,1,4.1,8,1
1986/1/6,0.9,8,1,3.4,8,1
1986/1/7,3.2,8,1,8.6,8,1
1986/1/8,5.0,8,1,10.1,8,1
1986/1/9,1.9,8,1,4.8,8,1
1986/1/10,1.7,8,1,6.0,8,1
1986/1/11,1.6,8,1,5.4,8,1
1986/1/12,2.2,8,1,7.2,8,1
1986/1/13,2.8,8,1,7.7,8,1
1986/1/14,3.4,8,1,7.0,8,1
1986/1/15,4.8,8,1,9.9,8,1
1986/1/16,6.0,8,1,9.5,8,1
1986/1/17,7.3,8,1,11.9,8,1
1986/1/18,6.9,8,1,11.2,8,1
1986/1/19,7.6,8,1,12.0,8,1
1986/1/20,8.1,8,1,13.3,8,1
1986/1/21,6.5,8,1,10.5,8,1
1986/1/22,2.9,8,1,6.2,8,1
1986/1/23,3.0,8,1,6.4,8,1
1986/1/24,3.7,8,1,7.5,8,1
1986/1/25,2.0,8,1,4.7,8,1
1986/1/26,1.7,8,1,5.5,8,1
1986/1/27,1.1,8,1,4.1,8,1
1986/1/28,2.4,8,1,6.4,8,1
1986/1/29,4.6,8,1,9.4,8,1
1986/1/30,5.7,8,1,11.9,8,1
1986/1/31,6.6,8,1,11.3,8,1
1986/2/1,5.1,8,1,10.1,8,1
1986/2/2,4.9,8,1,9.8,8,1
1986/2/3,4.5,8,1,9.6,8,1
1986/2/4,2.6,8,1,7.0,8,1
1986/2/5,2.2,8,1,6.5,8,1
1986/2/6,2.4,8,1,6.5,8,1
1986/2/7,2.7,8,1,7.5,8,1
1986/2/8,3.0,8,1,7.8,8,1
1986/2/9,2.3,8,1,6.7,8,1
1986/2/10,2.5,8,1,7.9,8,1
1986/2/11,2.6,8,1,5.0,8,1
1986/2/12,4.6,8,1,10.5,8,1
1986/2/13,6.6,8,1,11.0,8,1
1986/2/14,7.7,8,1,12.3,8,1
1986/2/15,7.2,8,1,13.3,8,1
1986/2/16,1.3,8,1,6.0,8,1
1986/2/17,2.9,8,1,8.7,8,1
1986/2/18,3.9,8,1,5.2,8,1
1986/2/19,6.5,8,1,11.6,8,1
1986/2/20,5.5,8,1,10.3,8,1
1986/2/21,4.6,8,1,9.7,8,1
1986/2/22,4.4,8,1,9.3,8,1
1986/2/23,5.5,8,1,10.5,8,1
1986/2/24,2.9,8,1,6.8,8,1
1986/2/25,1.8,8,1,6.8,8,1
1986/2/26,4.0,8,1,9.3,8,1
1986/2/27,6.1,8,1,11.0,8,1
1986/2/28,1.6,8,1,4.8,8,1
1986/3/1,4.0,8,1,8.9,8,1
1986/3/2,4.1,8,1,9.0,8,1
1986/3/3,4.6,8,1,9.5,8,1
1986/3/4,3.7,8,1,8.8,8,1
1986/3/5,5.0,8,1,12.2,8,1
1986/3/6,7.6,8,1,13.4,8,1
1986/3/7,9.0,8,1,14.2,8,1
1986/3/8,9.3,8,1,14.9,8,1
1986/3/9,11.9,8,1,16.5,8,1
1986/3/10,13.2,8,1,15.6,8,1
1986/3/11,9.8,8,1,11.8,8,1
1986/3/12,8.5,8,1,13.4,8,1
1986/3/13,10.1,8,1,14.8,8,1
1986/3/14,8.4,8,1,11.2,8,1
1986/3/15,12.4,8,1,17.1,8,1
1986/3/16,11.3,8,1,18.0,8,1
1986/3/17,6.7,8,1,12.4,8,1
1986/3/18,7.7,8,1,11.0,8,1
1986/3/19,10.7,8,1,14.1,8,1
1986/3/20,7.9,8,1,12.2,8,1
1986/3/21,8.1,8,1,14.1,8,1
1986/3/22,9.6,8,1,14.4,8,1
1986/3/23,7.1,8,1,9.8,8,1
1986/3/24,7.7,8,1,12.4,8,1
1986/3/25,7.8,8,1,13.7,8,1
1986/3/26,8.3,8,1,14.6,8,1
1986/3/27,11.5,8,1,16.8,8,1
1986/3/28,10.1,8,1,11.5,8,1
1986/3/29,10.4,8,1,12.9,8,1
1986/3/30,11.0,8,1,12.9,8,1
1986/3/31,11.3,8,1,16.2,8,1
1986/4/1,9.8,8,1,14.2,8,1
1986/4/2,11.5,8,1,19.4,8,1
1986/4/3,12.5,8,1,17.3,8,1
1986/4/4,12.4,8,1,14.1,8,1
1986/4/5,13.7,8,1,18.9,8,1
1986/4/6,11.9,8,1,17.7,8,1
1986/4/7,7.1,8,1,10.5,8,1
1986/4/8,9.7,8,1,15.0,8,1
1986/4/9,13.8,8,1,18.5,8,1
1986/4/10,14.8,8,1,17.3,8,1
1986/4/11,12.9,8,1,16.3,8,1
1986/4/12,10.3,8,1,15.1,8,1
1986/4/13,11.9,8,1,17.2,8,1
1986/4/14,14.4,8,1,22.2,8,1
1986/4/15,12.4,8,1,14.6,8,1
1986/4/16,13.6,8,1,18.9,8,1
1986/4/17,13.8,8,1,18.4,8,1
1986/4/18,14.7,8,1,19.6,8,1
1986/4/19,14.9,8,1,18.1,8,1
1986/4/20,17.4,8,1,21.3,8,1
1986/4/21,17.7,8,1,21.9,8,1
1986/4/22,16.3,8,1,18.0,8,1
1986/4/23,19.0,8,1,25.3,8,1
1986/4/24,16.6,8,1,20.4,8,1
1986/4/25,17.6,8,1,20.8,8,1
1986/4/26,18.5,8,1,22.3,8,1
1986/4/27,18.5,8,1,22.1,8,1
1986/4/28,15.5,8,1,18.8,8,1
1986/4/29,15.1,8,1,18.6,8,1
1986/4/30,15.6,8,1,19.5,8,1
1986/5/1,16.6,8,1,20.3,8,1
1986/5/2,15.6,8,1,17.6,8,1
1986/5/3,14.9,8,1,16.6,8,1
1986/5/4,15.1,8,1,19.0,8,1
1986/5/5,16.4,8,1,20.2,8,1
1986/5/6,15.1,8,1,17.7,8,1
1986/5/7,17.8,8,1,23.8,8,1
1986/5/8,19.4,8,1,26.2,8,1
1986/5/9,19.2,8,1,22.9,8,1
1986/5/10,17.7,8,1,23.6,8,1
1986/5/11,16.7,8,1,18.2,8,1
1986/5/12,18.2,8,1,25.1,8,1
1986/5/13,17.7,8,1,22.2,8,1
1986/5/14,16.8,8,1,18.6,8,1
1986/5/15,19.3,8,1,24.7,8,1
1986/5/16,17.0,8,1,21.3,8,1
1986/5/17,17.6,8,1,22.5,8,1
1986/5/18,19.3,8,1,23.2,8,1
1986/5/19,19.6,8,1,23.3,8,1
1986/5/20,19.1,8,1,21.0,8,1
1986/5/21,18.7,8,1,22.8,8,1
1986/5/22,16.5,8,1,19.1,8,1
1986/5/23,16.6,8,1,20.5,8,1
1986/5/24,18.4,8,1,22.2,8,1
1986/5/25,21.2,8,1,25.7,8,1
1986/5/26,16.9,8,1,20.1,8,1
1986/5/27,17.3,8,1,21.6,8,1
1986/5/28,18.7,8,1,23.3,8,1
1986/5/29,17.3,8,1,19.0,8,1
1986/5/30,18.7,8,1,21.3,8,1
1986/5/31,21.9,8,1,28.5,8,1
1986/6/1,22.2,8,1,27.8,8,1
1986/6/2,21.5,8,1,25.2,8,1
1986/6/3,21.2,8,1,24.4,8,1
1986/6/4,21.1,8,1,25.9,8,1
1986/6/5,20.4,8,1,24.1,8,1
1986/6/6,18.2,8,1,22.1,8,1
1986/6/7,17.9,8,1,19.3,8,1
1986/6/8,20.0,8,1,26.0,8,1
1986/6/9,21.5,8,1,27.1,8,1
1986/6/10,21.3,8,1,26.7,8,1
1986/6/11,20.1,8,1,24.7,8,1
1986/6/12,20.2,8,1,24.8,8,1
1986/6/13,19.6,8,1,23.7,8,1
1986/6/14,20.2,8,1,24.2,8,1
1986/6/15,21.2,8,1,25.6,8,1
1986/6/16,21.5,8,1,24.2,8,1
1986/6/17,21.9,8,1,23.0,8,1
1986/6/18,23.3,8,1,28.5,8,1
1986/6/19,24.3,8,1,29.9,8,1
1986/6/20,24.4,8,1,28.8,8,1
1986/6/21,20.6,8,1,22.4,8,1
1986/6/22,21.2,8,1,23.5,8,1
1986/6/23,20.1,8,1,21.9,8,1
1986/6/24,21.7,8,1,25.2,8,1
1986/6/25,23.4,8,1,26.3,8,1
1986/6/26,25.9,8,1,29.6,8,1
1986/6/27,23.7,8,1,27.5,8,1
1986/6/28,23.8,8,1,27.1,8,1
1986/6/29,20.4,8,1,22.4,8,1
1986/6/30,20.5,8,1,22.4,8,1
1986/7/1,23.1,8,1,26.3,8,1
1986/7/2,22.9,8,1,26.6,8,1
1986/7/3,22.7,8,1,26.0,8,1
1986/7/4,22.8,8,1,26.7,8,1
1986/7/5,21.1,8,1,22.9,8,1
1986/7/6,24.9,8,1,29.4,8,1
1986/7/7,22.5,8,1,27.0,8,1
1986/7/8,22.8,8,1,26.3,8,1
1986/7/9,23.5,8,1,26.1,8,1
1986/7/10,22.9,8,1,24.8,8,1
1986/7/11,24.9,8,1,29.3,8,1
1986/7/12,25.9,8,1,28.5,8,1
1986/7/13,23.1,8,1,25.0,8,1
1986/7/14,25.3,8,1,29.6,8,1
1986/7/15,24.7,8,1,26.4,8,1
1986/7/16,26.0,8,1,29.9,8,1
1986/7/17,26.1,8,1,28.4,8,1
1986/7/18,27.7,8,1,32.0,8,1
1986/7/19,28.0,8,1,33.9,8,1
1986/7/20,22.1,8,1,27.9,8,1
1986/7/21,21.7,8,1,23.9,8,1
1986/7/22,22.3,8,1,25.2,8,1
1986/7/23,26.2,8,1,31.1,8,1
1986/7/24,25.2,8,1,29.3,8,1
1986/7/25,25.6,8,1,29.4,8,1
1986/7/26,25.8,8,1,28.9,8,1
1986/7/27,26.2,8,1,29.1,8,1
1986/7/28,26.6,8,1,29.6,8,1
1986/7/29,26.6,8,1,30.1,8,1
1986/7/30,26.7,8,1,31.1,8,1
1986/7/31,27.2,8,1,30.9,8,1
1986/8/1,27.0,8,1,30.9,8,1
1986/8/2,26.9,8,1,32.0,8,1
1986/8/3,26.1,8,1,30.3,8,1
1986/8/4,19.6,8,1,22.5,8,1
1986/8/5,27.4,8,1,32.2,8,1
1986/8/6,27.7,8,1,32.8,8,1
1986/8/7,27.4,8,1,31.5,8,1
1986/8/8,26.4,8,1,30.2,8,1
