ダウンロードした時刻：2024/07/10 01:13:36

,東京,東京,東京,東京,東京,東京
年月日,平均気温(℃),平均気温(℃),平均気温(℃),最高気温(℃),最高気温(℃),最高気温(℃)
,,,,,,
,,品質情報,均質番号,,品質情報,均質番号
1975/2/11,4.1,8,1,8.6,8,1
1975/2/12,4.9,8,1,10.7,8,1
1975/2/13,5.8,8,1,10.3,8,1
1975/2/14,7.3,8,1,11.0,8,1
1975/2/15,3.6,8,1,8.3,8,1
1975/2/16,2.1,8,1,6.6,8,1
1975/2/17,2.1,8,1,6.0,8,1
1975/2/18,4.1,8,1,10.9,8,1
1975/2/19,5.2,8,1,9.7,8,1
1975/2/20,4.9,8,1,9.0,8,1
1975/2/21,2.4,8,1,5.2,8,1
1975/2/22,4.8,8,1,8.2,8,1
1975/2/23,4.5,8,1,8.9,8,1
1975/2/24,5.9,8,1,10.1,8,1
1975/2/25,8.6,8,1,15.0,8,1
1975/2/26,5.9,8,1,10.2,8,1
1975/2/27,4.3,8,1,7.3,8,1
1975/2/28,5.1,8,1,10.4,8,1
1975/3/1,3.9,8,1,9.0,8,1
1975/3/2,4.9,8,1,8.8,8,1
1975/3/3,5.5,8,1,10.3,8,1
1975/3/4,7.0,8,1,10.8,8,1
1975/3/5,4.3,8,1,7.8,8,1
1975/3/6,5.3,8,1,9.8,8,1
1975/3/7,7.4,8,1,12.2,8,1
1975/3/8,9.3,8,1,14.3,8,1
1975/3/9,12.1,8,1,18.1,8,1
1975/3/10,9.2,8,1,11.1,8,1
1975/3/11,10.8,8,1,15.3,8,1
1975/3/12,9.7,8,1,13.6,8,1
1975/3/13,7.5,8,1,12.1,8,1
1975/3/14,6.4,8,1,9.4,8,1
1975/3/15,5.5,8,1,8.2,8,1
1975/3/16,6.4,8,1,10.5,8,1
1975/3/17,6.1,8,1,10.6,8,1
1975/3/18,6.6,8,1,13.1,8,1
1975/3/19,6.3,8,1,10.9,8,1
1975/3/20,5.7,8,1,9.0,8,1
1975/3/21,11.1,8,1,18.6,8,1
1975/3/22,11.1,8,1,17.8,8,1
1975/3/23,10.5,8,1,14.5,8,1
1975/3/24,7.2,8,1,9.2,8,1
1975/3/25,6.2,8,1,10.3,8,1
1975/3/26,5.3,8,1,8.2,8,1
1975/3/27,8.3,8,1,12.4,8,1
